OMOPSO,SMPSO,IBEA,NSGAII
0.378813735,0.430783938,0.427895993,0.387351144
0.403024629,0.436000961,0.428525968,0.425277887
0.404294891,0.453500501,0.435043712,0.434083949
0.404399612,0.453737776,0.43769985,0.440983493
0.405929769,0.454936737,0.446949109,0.442145784
0.407585544,0.455829264,0.447615927,0.445442405
0.412159141,0.457447264,0.450849215,0.447788773
0.417929436,0.458590449,0.451401823,0.448607258
0.418356599,0.45873723,0.452139901,0.453535435
0.419478235,0.459308342,0.453278127,0.455362083
0.422563426,0.459891482,0.455941555,0.457581711
0.426817896,0.460125897,0.457471055,0.45981453
0.42719132,0.461640183,0.459156006,0.460631738
0.441986936,0.461819786,0.461546664,0.461405573
0.442892902,0.462070637,0.465416654,0.462215509
0.44315014,0.462337851,0.468462947,0.462261003
0.445162172,0.46248351,0.469639754,0.465516993
0.446364963,0.462535661,0.472624969,0.46571459
0.446667505,0.462579925,0.472751869,0.466019352
0.448019218,0.462745326,0.472835765,0.467950697
0.450458221,0.462746924,0.473407383,0.468234583
0.452617668,0.463094751,0.47455543,0.468727741
0.454157693,0.463500071,0.476943899,0.469917019
0.454326799,0.463566258,0.477027997,0.473648738
0.455082971,0.464097315,0.477546665,0.474253959
0.455657876,0.464756682,0.479351857,0.4749226
0.457208382,0.465084871,0.482818139,0.475226161
0.45797863,0.465315218,0.483618112,0.475236427
0.459506614,0.465389165,0.484306673,0.476846234
0.462159396,0.465521541,0.484823644,0.479173382
0.463046681,0.466219741,0.486002012,0.479759856
0.463422658,0.466448136,0.486786733,0.481037173
0.463436274,0.467381853,0.487268399,0.48203136
0.464139824,0.467690972,0.48784301,0.482090891
0.469163689,0.468417157,0.488973321,0.483128598
0.469928575,0.468427177,0.490277404,0.483753165
0.470838107,0.468532163,0.491026799,0.484754537
0.470859968,0.468570666,0.49153807,0.48479031
0.471208086,0.46871616,0.491887894,0.4856961
0.471485376,0.469105152,0.492671486,0.485746685
0.471568818,0.469780388,0.49390536,0.486208881
0.47160171,0.469808183,0.494627201,0.486426586
0.471843633,0.470032697,0.494816535,0.487103872
0.472121732,0.470802166,0.495245389,0.488187661
0.472382831,0.471153497,0.496472528,0.490759494
0.472817386,0.471754861,0.496804554,0.490783413
0.474315607,0.472371797,0.497183238,0.491900708
0.475144096,0.472386452,0.497746189,0.491932241
0.475725533,0.474541254,0.497831961,0.492287952
0.475738747,0.474615774,0.498752587,0.492312916
0.475775837,0.474657612,0.499015492,0.492708117
0.476077032,0.475029207,0.499344034,0.492827899
0.476293781,0.475465238,0.499370042,0.495052565
0.476675131,0.476106217,0.499785463,0.495683651
0.476859382,0.476839716,0.500154472,0.496746783
0.477366748,0.477516361,0.501394745,0.497095226
0.477906913,0.477581829,0.502653258,0.497624988
0.478081125,0.477694563,0.503586369,0.497898453
0.479008241,0.477907972,0.504921268,0.497997891
0.480427021,0.478011097,0.506808428,0.498170706
0.480783031,0.478436633,0.507152572,0.498199613
0.482258296,0.479859854,0.508284347,0.501072074
0.482979407,0.479971473,0.509588682,0.501250499
0.483343895,0.480117092,0.509821574,0.50264398
0.483550518,0.481184625,0.51010364,0.503076637
0.484631594,0.481651996,0.510738872,0.504162108
0.48533005,0.482264463,0.511913925,0.504602621
0.485439217,0.483271973,0.512638832,0.504890056
0.486534123,0.484077646,0.513169738,0.505279672
0.487422858,0.484590959,0.51393516,0.505887283
0.487763174,0.484728352,0.514100813,0.50614729
0.487864939,0.484824474,0.515106327,0.506302088
0.488145663,0.484959068,0.516424859,0.50665323
0.489225051,0.485059543,0.516664542,0.507581977
0.489700942,0.485368157,0.517202131,0.508434218
0.489727874,0.485443019,0.517336365,0.509107576
0.489939313,0.485644048,0.519179296,0.509431051
0.490391031,0.486235986,0.519605395,0.510645381
0.491175845,0.486575217,0.520632996,0.510889346
0.491359238,0.487277226,0.521474309,0.511056178
0.492353755,0.487291088,0.521745271,0.511273109
0.494466305,0.489165957,0.522474199,0.512002679
0.494495943,0.489219063,0.525084189,0.512464088
0.495654298,0.49010204,0.526352454,0.513058859
0.49670061,0.490190894,0.52650764,0.513136239
0.496948734,0.490206372,0.526728052,0.513475779
0.497734628,0.49061903,0.527242826,0.51596039
0.497948178,0.491951641,0.528179312,0.516604305
0.500518612,0.491983396,0.530483867,0.517555485
0.502392164,0.492109339,0.531174246,0.518862762
0.50304968,0.492123188,0.533231413,0.519089691
0.503423932,0.493401167,0.535508,0.519532787
0.504150143,0.493680487,0.536543286,0.520595546
0.506434239,0.496389121,0.5366689,0.521413592
0.507855976,0.498241007,0.537353481,0.521539379
0.507966272,0.499140778,0.539028221,0.521812895
0.509084352,0.499518815,0.540578731,0.522635449
0.510759119,0.503818133,0.541374988,0.523668456
0.517742739,0.508422715,0.541507576,0.527051296
0.518094776,0.520027978,0.543866612,0.534750175
